wave,task_id,condition,problem,seed,live_status,live_passed,regrade_passed,comparator_duration_ms,exit_code,stderr_first_200,returned_file_byte_identical_to_packet_recheck_candidate
Wave A,stage3v1-breadth-p08_sum_products-r1-c1,c1,p08_sum_products,1729,failed,false,false,55150,1,,false
Wave A,stage3v1-breadth-rmo_2000_6-r1-c0,c0,rmo_2000_6,1729,failed,false,false,39766,1,,false
Wave A,stage3v1-breadth-rmo_2000_6-r1-c2,c2,rmo_2000_6,1729,failed,false,false,39768,1,,false
Wave A,stage3v1-core-p03_sq_ge_two_ab-r3-c2,c2,p03_sq_ge_two_ab,3141,failed,false,false,55701,1,,false
Wave C,stage3fill-breadth-p02_frac_cancel-r1-c1plus-fill-reserve,c1plus-fill-reserve,p02_frac_cancel,1729,cost_unknown,false,true,40143,0,,false
Wave C,stage3fill-breadth-p08_sum_products-r1-c0plus-reserve,c0plus-reserve,p08_sum_products,1729,failed,false,true,669468,0,,false
Wave C,stage3fill-breadth-p08_sum_products-r1-c1plus-fill-reserve,c1plus-fill-reserve,p08_sum_products,1729,failed,false,true,670316,0,,false
Wave C,stage3fill-breadth-rmo_2000_6-r1-c0plus-reserve,c0plus-reserve,rmo_2000_6,1729,failed,false,false,658214,1,,false
Wave C,stage3fill-breadth-rmo_2000_6-r1-c1plus-fill-reserve,c1plus-fill-reserve,rmo_2000_6,1729,failed,false,false,658154,1,,false
